,Exp Return,Volatility,Sharpe,Min_Corr,Corr_value,Clustering,D,W,M,3M,6M,A,YTD,Security,GICS Sector,GICS Sub-Industry,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,mv_Returns,mv_Volatility,mv_w0,mv_w1,mv_w2,mv_w3,mv_w4,mv_w5,mv_w6,mv_w7,mv_w8,mv_w9,or_Returns,or_Volatility,or_w0,or_w1,or_w2,or_w3,or_w4,or_w5,or_w6,or_w7,or_w8,or_w9
RSG,0.05433755530863083,0.3414373202447623,0.15914357361309678,KR,0.14833732777518258,0.0,-3.16%,0.63%,0.01%,3.62%,18.43%,9.53%,-3.61%,Republic Services Inc,Industrials,Environmental & Facilities Services,RSG,KR,CLX,DXCM,LLY,NLOK,NEM,VNT,REGN,AKAM,0.3330486738762597,0.1845289025889133,0.08,0.21,0.14,0.04,0.06,0.13,0.06,0.22,0.01,0.04,0.37582970005191596,0.1957163789263163,0.02,0.07,0.23,0.08,0.06,0.16,0.03,0.25,0.02,0.08
RMD,0.30820315052143404,0.47312087005285824,0.651425819552202,SEE,0.0846756853552564,2.0,-3.70%,1.84%,1.41%,24.21%,11.14%,38.33%,1.88%,ResMed,Health Care,Health Care Equipment,RMD,REGN,KR,NLOK,LUMN,DXCM,CLX,AKAM,NEM,LLY,0.3218065522786091,0.22709377512972845,0.0,0.13,0.23,0.24,0.07,0.01,0.09,0.02,0.15,0.05,0.3712443461571922,0.2347785842882092,0.02,0.01,0.05,0.23,0.17,0.04,0.23,0.01,0.07,0.16
RHI,0.05993280293239416,0.49404728215909927,0.121309852511432,KR,-0.09016988664767021,0.0,-3.15%,7.09%,-2.65%,18.64%,19.62%,1.36%,4.29%,Robert Half International,Industrials,Human Resource & Employment Services,RHI,CLX,NLOK,DXCM,KR,NEM,REGN,AKAM,LLY,NFLX,0.32652254301951855,0.21873848044284216,0.07,0.24,0.21,0.06,0.18,0.07,0.01,0.02,0.07,0.06,0.3848111880918561,0.24998500984590763,0.0,0.16,0.19,0.1,0.05,0.18,0.02,0.0,0.19,0.11
ROK,0.20426042265163336,0.48171401524112406,0.42402839898563033,KR,0.039803515203713544,0.0,-1.39%,4.06%,-1.86%,14.17%,18.81%,26.17%,-0.10%,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,ROK,REGN,KR,LUMN,NLOK,LLY,CLX,DXCM,NEM,AKAM,0.31095682026470417,0.22367078922452627,0.15,0.02,0.19,0.07,0.15,0.05,0.19,0.05,0.05,0.06,0.3879204370647339,0.24732514639267156,0.01,0.06,0.01,0.19,0.1,0.17,0.24,0.12,0.08,0.02
ROL,0.46068485413513244,0.37901865308239663,1.2154674984689526,FANG,0.08522260173600367,2.0,-5.64%,-0.59%,2.49%,8.51%,38.92%,78.47%,-8.06%,"Rollins, Inc.",Industrials,Environmental & Facilities Services,ROL,VNT,LUMN,LLY,REGN,FFIV,KR,DXCM,KEYS,ANET,0.36902270746015964,0.21119519569229436,0.17,0.19,0.05,0.07,0.07,0.06,0.27,0.05,0.04,0.02,0.4155053401206081,0.21572559911033773,0.08,0.32,0.09,0.15,0.01,0.21,0.08,0.07,0.0,0.0
ROP,0.17925728525758539,0.3990971367299726,0.4491570316097509,VNT,0.20760355973046904,0.0,0.64%,1.85%,0.96%,9.25%,11.32%,22.39%,-0.67%,Roper Technologies,Industrials,Industrial Conglomerates,ROP,REGN,VNT,LUMN,LLY,KR,NLOK,KEYS,NEM,ENPH,0.37398550027176897,0.20040661353300498,0.03,0.08,0.22,0.04,0.08,0.22,0.12,0.08,0.1,0.02,0.6076849050276121,0.27823048577976267,0.01,0.08,0.19,0.11,0.1,0.19,0.07,0.01,0.05,0.18
ROST,-0.0017953958007689858,0.5617408310127427,-0.003196128359642524,CPB,-0.14834818029027397,3.0,-3.38%,-3.11%,14.22%,31.60%,44.08%,5.81%,-6.58%,Ross Stores,Consumer Discretionary,Apparel Retail,ROST,MKTX,CHD,TSCO,EBAY,AMZN,WST,NFLX,DG,EA,0.28303103368888893,0.2521711539709138,0.1,0.04,0.19,0.01,0.18,0.01,0.05,0.03,0.25,0.13,0.47943027904805147,0.28477567536348664,0.01,0.07,0.05,0.09,0.18,0.22,0.28,0.05,0.02,0.04
RCL,-0.5968816063974209,1.1043055145993168,-0.5405040530056502,DPZ,-0.192751628853853,1.0,-0.48%,-1.32%,-5.23%,15.39%,48.49%,-43.50%,-7.53%,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",RCL,POOL,PGR,ADBE,SNPS,AMD,CTLT,CHD,TSLA,ENPH,0.3795703914498154,0.32151741875564654,0.0,0.12,0.23,0.24,0.04,0.01,0.04,0.28,0.0,0.04,1.2051482924802326,0.5335426941320888,0.02,0.05,0.04,0.02,0.04,0.02,0.31,0.03,0.35,0.12
SPGI,0.15873686070719897,0.45647234938389175,0.3477469356499878,VNT,0.09024379146340022,0.0,-3.98%,3.00%,-6.55%,-8.66%,0.16%,21.40%,-1.79%,S&P Global Inc.,Financials,Financial Exchanges & Data,SPGI,LUMN,KEYS,LLY,ANET,FFIV,AMAT,ALB,SIVB,ENPH,0.3508865967141944,0.31454918885532407,0.19,0.17,0.17,0.18,0.08,0.17,0.01,0.0,0.01,0.01,0.8043545514689023,0.43477864627229745,0.07,0.08,0.02,0.26,0.03,0.09,0.0,0.18,0.01,0.26
CRM,0.29530230194793466,0.5018997604022875,0.5883690833230149,VNT,-0.013719678421082846,2.0,-0.65%,5.93%,-9.47%,-11.46%,18.79%,36.82%,2.18%,Salesforce.com,Information Technology,Application Software,CRM,LUMN,LLY,REGN,FFIV,KR,ANET,KEYS,NLOK,DXCM,0.3073302736488597,0.23765435894144762,0.05,0.03,0.05,0.09,0.14,0.33,0.07,0.05,0.14,0.03,0.3771636171049544,0.2571783618198377,0.01,0.16,0.22,0.06,0.16,0.08,0.0,0.03,0.18,0.1
SBAC,0.11938423367659413,0.4095448384206481,0.2915046717155137,CARR,0.0383189588760563,0.0,-2.08%,1.34%,-1.76%,-11.28%,-5.01%,17.81%,-3.14%,SBA Communications,Real Estate,Specialized REITs,SBAC,CARR,FCX,ALGN,ALXN,DVA,ANET,ZBRA,NWSA,ALB,0.5488877684598763,0.3195596705565521,0.16,0.18,0.01,0.01,0.15,0.22,0.09,0.07,0.02,0.08,0.7611623942356018,0.386164165509848,0.03,0.32,0.14,0.11,0.02,0.25,0.0,0.07,0.03,0.02
SLB,-0.4930230304098025,0.7668860764785281,-0.6428895314851978,KR,-0.06280681992068105,1.0,-4.09%,-2.01%,5.64%,41.14%,20.21%,-43.81%,3.34%,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,SLB,QCOM,IPGP,MTD,ANSS,ADSK,INTU,PKI,RMD,CMI,0.3392799774171413,0.33376624921559284,0.0,0.01,0.05,0.14,0.1,0.06,0.03,0.2,0.17,0.23,0.39587820234629734,0.35042386029382966,0.0,0.23,0.05,0.11,0.02,0.06,0.03,0.24,0.16,0.1
STX,0.16329287608284024,0.4399881077775025,0.37113020374045147,VNT,-0.10791270364077855,0.0,10.58%,-0.84%,6.80%,27.47%,31.51%,10.14%,9.35%,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",STX,AKAM,NEM,CHD,EBAY,AMZN,NFLX,DXCM,TSCO,NLOK,0.3390441469152375,0.24591618425232273,0.08,0.09,0.12,0.14,0.14,0.1,0.01,0.03,0.1,0.16,0.42906720242483515,0.27386786894314546,0.02,0.04,0.06,0.03,0.26,0.26,0.0,0.07,0.18,0.08
SEE,0.09179151307452241,0.5204534299980463,0.17636835071846288,CLX,-0.03828694179777725,0.0,-2.23%,2.48%,1.98%,18.40%,40.43%,16.97%,-4.47%,Sealed Air,Materials,Paper Packaging,SEE,REGN,KR,NLOK,DXCM,CLX,LLY,NEM,LUMN,AKAM,0.3183880114813483,0.21757073060744023,0.09,0.01,0.17,0.16,0.0,0.19,0.14,0.11,0.07,0.05,0.36438367511556385,0.23060782445326747,0.03,0.01,0.06,0.21,0.11,0.21,0.12,0.11,0.12,0.01
SRE,-0.15302261754075494,0.46317356191498527,-0.33037856674738697,KR,0.06875852238543295,3.0,-3.72%,-0.58%,0.76%,8.52%,10.58%,-12.78%,-3.58%,Sempra Energy,Utilities,Multi-Utilities,SRE,IPGP,COST,TGT,DHR,UPS,TER,CMG,IDXX,ADSK,0.2694304797749333,0.2760408470527806,0.09,0.07,0.36,0.12,0.03,0.15,0.0,0.09,0.02,0.06,0.4309271335380305,0.3029528708433178,0.01,0.06,0.04,0.28,0.03,0.05,0.03,0.16,0.29,0.04
NOW,0.6001813479988223,0.48980232689872416,1.2253542195256273,VNT,0.018650581178584758,2.0,-3.00%,5.32%,2.97%,13.49%,35.89%,94.97%,0.38%,ServiceNow,Information Technology,Systems Software,NOW,LUMN,REGN,LLY,KR,VNT,NLOK,DXCM,FFIV,CLX,0.37078095545191336,0.1832284576799137,0.01,0.05,0.0,0.06,0.21,0.25,0.17,0.0,0.11,0.15,0.39766576163291806,0.19424589911869855,0.11,0.01,0.02,0.08,0.19,0.27,0.15,0.01,0.03,0.13
SHW,0.18763626289508864,0.4168054362014967,0.45017710086770424,VNT,0.08057525323142121,0.0,-0.84%,0.91%,-1.70%,5.67%,27.67%,27.05%,-3.64%,Sherwin-Williams,Materials,Specialty Chemicals,SHW,REGN,LUMN,KR,LLY,NLOK,DXCM,CLX,AKAM,NEM,0.29673968605086065,0.22558099014113642,0.12,0.06,0.06,0.27,0.01,0.14,0.01,0.2,0.06,0.06,0.35442469463457027,0.22621951662429832,0.02,0.01,0.07,0.12,0.12,0.25,0.04,0.33,0.0,0.03
SPG,-0.301144500124254,0.8927640696136624,-0.3373170027491947,HRL,-0.13564700484455725,1.0,-2.43%,2.68%,4.91%,36.43%,31.65%,-38.64%,15.32%,Simon Property Group Inc,Real Estate,Retail REITs,SPG,MTD,PKI,TGT,ADSK,FDX,IPGP,CMI,HOLX,RMD,0.3222943061723419,0.31176501358980024,0.05,0.08,0.26,0.31,0.01,0.02,0.04,0.0,0.13,0.1,0.3678864202545949,0.32371464535278754,0.0,0.24,0.21,0.19,0.14,0.01,0.08,0.07,0.02,0.05
SWKS,0.2702013920136967,0.5488058495637365,0.4923442274321393,VNT,0.14540489009031363,2.0,-4.46%,6.10%,8.29%,5.45%,20.41%,28.36%,5.97%,Skyworks Solutions,Information Technology,Semiconductors,SWKS,REGN,VNT,LUMN,KR,NLOK,LLY,CLX,DXCM,NEM,0.382887011128296,0.19217080522144403,0.01,0.03,0.28,0.08,0.14,0.05,0.05,0.26,0.04,0.06,0.3954239405239294,0.196126946826597,0.01,0.02,0.28,0.01,0.08,0.16,0.07,0.24,0.08,0.06
SLG,-0.19171557331280192,0.7633376556487287,-0.2511543507569673,BIIB,-0.02501600489901005,3.0,1.64%,-1.82%,6.39%,34.43%,28.81%,-29.14%,14.54%,SL Green Realty,Real Estate,Office REITs,SLG,A,QCOM,INTU,HOLX,MTD,TER,RMD,KLAC,PKI,0.3347571294954394,0.3409583453763747,0.02,0.22,0.02,0.02,0.11,0.18,0.02,0.25,0.02,0.13,0.43097506851176415,0.3730227512780604,0.0,0.04,0.25,0.04,0.04,0.26,0.16,0.03,0.01,0.17
SNA,0.13694344710665937,0.4718870216524631,0.2902038853009946,KR,0.05804096891810225,0.0,4.41%,5.58%,-2.68%,17.16%,25.34%,4.03%,11.94%,Snap-on,Industrials,Industrial Machinery,SNA,KR,NLOK,CLX,DXCM,NEM,REGN,AKAM,LLY,NFLX,0.29465799406958354,0.22309312693714115,0.14,0.26,0.2,0.15,0.03,0.04,0.05,0.04,0.07,0.01,0.3678346597538604,0.23896883660591356,0.01,0.12,0.19,0.19,0.05,0.19,0.0,0.01,0.18,0.07
SO,-0.004970676171401042,0.44326114580270126,-0.011213877459075842,VNT,0.15290947295148127,0.0,-1.93%,0.80%,2.64%,14.45%,21.09%,0.63%,-1.99%,Southern Company,Utilities,Electric Utilities,SO,MSFT,PYPL,ODFL,BIO,ADBE,TTWO,NVDA,FAST,ROL,0.3471504785522771,0.31162496685730406,0.12,0.09,0.03,0.16,0.15,0.06,0.13,0.0,0.11,0.13,0.5188358148386907,0.36576590264265835,0.01,0.03,0.16,0.13,0.1,0.03,0.2,0.19,0.02,0.13
LUV,-0.18219636189861893,0.6055517191770216,-0.30087663221604577,DPZ,-0.096277776346234,3.0,-3.62%,1.56%,0.58%,24.29%,36.37%,-13.32%,-3.90%,Southwest Airlines,Industrials,Airlines,LUV,ROL,ADBE,WMT,PYPL,CDNS,ETSY,TMUS,CTLT,FAST,0.34219585521316664,0.3001614795155173,0.1,0.2,0.07,0.25,0.04,0.01,0.02,0.06,0.12,0.12,0.734245733113037,0.390148227878416,0.0,0.15,0.0,0.05,0.04,0.05,0.29,0.19,0.15,0.08
SWK,0.10350630758244563,0.6030964612851062,0.17162479673962858,KR,0.02334392342577311,0.0,-1.85%,1.49%,-3.12%,10.50%,29.14%,9.73%,2.04%,Stanley Black & Decker,Industrials,Industrial Machinery,SWK,REGN,KR,NLOK,CLX,DXCM,VNT,LLY,NEM,AKAM,0.34494046012901164,0.18997619895847828,0.08,0.01,0.19,0.19,0.17,0.03,0.26,0.03,0.01,0.03,0.3843441298009811,0.19730033051429546,0.0,0.04,0.03,0.22,0.27,0.05,0.26,0.07,0.01,0.04
SBUX,0.13086841657128098,0.44547206388215116,0.29377468798111206,KR,0.0741141861150014,0.0,-6.51%,1.54%,9.14%,25.10%,46.85%,24.19%,-6.89%,Starbucks Corp.,Consumer Discretionary,Restaurants,SBUX,KR,CLX,DXCM,NLOK,NEM,REGN,AKAM,LLY,EBAY,0.32074752987665,0.22216434121907686,0.04,0.19,0.12,0.0,0.2,0.16,0.04,0.06,0.07,0.1,0.37688603326786363,0.23720378608243034,0.01,0.11,0.2,0.12,0.14,0.06,0.02,0.01,0.15,0.17
STT,-0.05457325150160386,0.5699844881464673,-0.09574515208136739,CLX,0.013006711309531467,3.0,-3.43%,-3.90%,4.01%,23.56%,16.36%,-4.76%,-0.81%,State Street Corp.,Financials,Asset Management & Custody Banks,STT,AKAM,NFLX,NLOK,DXCM,NEM,MKTX,AMZN,DG,LLY,0.33308520767535743,0.24801833719052493,0.0,0.12,0.02,0.22,0.04,0.23,0.02,0.11,0.2,0.02,0.40757042461571347,0.2710743298501805,0.01,0.06,0.05,0.14,0.1,0.17,0.02,0.2,0.02,0.23
STE,0.22760262965878844,0.37466210252073784,0.6074877286159213,KR,0.15835240453106794,0.0,-0.46%,2.38%,-2.20%,7.80%,24.10%,25.50%,1.54%,STERIS plc,Health Care,Health Care Equipment,STE,REGN,KR,DXCM,CLX,NLOK,VNT,LLY,LUMN,AKAM,0.3372916904864215,0.19063662278525223,0.09,0.08,0.22,0.01,0.13,0.2,0.21,0.04,0.0,0.01,0.3878223070047636,0.20112151069258832,0.03,0.06,0.08,0.02,0.11,0.12,0.31,0.17,0.04,0.06
SYK,0.09812299902329095,0.47399545524403014,0.2070125313179926,CLX,0.049125130807356074,0.0,-3.05%,-0.85%,5.26%,17.91%,36.73%,18.17%,-6.11%,Stryker Corp.,Health Care,Health Care Equipment,SYK,KR,CLX,DXCM,NLOK,REGN,NEM,AKAM,LLY,EBAY,0.3110435027369332,0.22300888074969355,0.08,0.18,0.09,0.03,0.15,0.03,0.16,0.07,0.09,0.09,0.36972471219208647,0.23247570418412178,0.0,0.12,0.25,0.08,0.25,0.02,0.03,0.01,0.1,0.14
SIVB,0.5365138998626626,0.6301729433418672,0.8513756509720621,CLX,0.091485424114024,2.0,-7.05%,4.06%,12.46%,61.18%,79.94%,54.49%,17.53%,SVB Financial,Financials,Regional Banks,SIVB,REGN,KR,DXCM,CLX,NLOK,NEM,AKAM,EBAY,CHD,0.31514753640035365,0.22496851983342786,0.02,0.01,0.2,0.03,0.21,0.16,0.12,0.12,0.05,0.06,0.3739606779684058,0.24077410336780988,0.06,0.02,0.13,0.12,0.18,0.13,0.11,0.02,0.21,0.01
SYF,0.01249147232218657,0.7365360861721921,0.016959756021059685,CLX,-0.04800220635473233,3.0,-2.83%,-3.61%,13.92%,33.79%,59.51%,-0.08%,2.16%,Synchrony Financial,Financials,Consumer Finance,SYF,AKAM,NEM,NLOK,MKTX,DXCM,NFLX,AMZN,LLY,CLX,0.35451496192410303,0.2425292420292663,0.01,0.16,0.13,0.2,0.01,0.01,0.13,0.03,0.1,0.2,0.41539610927438314,0.26100487663829114,0.0,0.02,0.09,0.09,0.08,0.1,0.02,0.2,0.2,0.2
SNPS,0.5713871882326174,0.41826136661329544,1.3661008016571006,VNT,0.07180648941849117,2.0,-4.34%,4.33%,13.95%,21.15%,32.94%,86.24%,1.07%,Synopsys Inc.,Information Technology,Application Software,SNPS,REGN,LUMN,KR,NLOK,DXCM,CLX,LLY,NEM,AKAM,0.3523744715278651,0.22372908556976626,0.05,0.03,0.12,0.13,0.16,0.04,0.23,0.05,0.12,0.05,0.42084665724015,0.24929341104349084,0.17,0.0,0.13,0.02,0.13,0.06,0.2,0.2,0.08,0.01
SYY,-0.1022950362522896,0.6751281405159874,-0.15151943773830473,CPB,-0.052711318210071086,3.0,-2.90%,-0.50%,4.17%,20.22%,37.98%,-10.40%,-0.23%,Sysco Corp.,Consumer Staples,Food Distributors,SYY,AKAM,NFLX,MKTX,AMZN,EBAY,LLY,ATVI,EA,DG,0.34643555214655053,0.26231517026911966,0.03,0.15,0.02,0.01,0.09,0.21,0.1,0.16,0.01,0.2,0.4147814988320562,0.28555412420695486,0.0,0.08,0.02,0.04,0.22,0.16,0.21,0.16,0.06,0.06
TMUS,0.4545152292271973,0.40043455726527594,1.1350549571227304,VNT,-0.04405351528113927,2.0,-6.19%,2.42%,1.44%,17.92%,29.48%,71.96%,-5.54%,T-Mobile US,Communication Services,Wireless Telecommunication Services,TMUS,REGN,LUMN,KR,LLY,NLOK,DXCM,AKAM,CLX,NEM,0.3418905822057302,0.22390861113756996,0.02,0.08,0.11,0.15,0.06,0.22,0.02,0.02,0.19,0.12,0.3851777105197352,0.23719036286806824,0.2,0.02,0.13,0.04,0.14,0.15,0.03,0.03,0.16,0.09
TROW,0.30980524614636806,0.4677276078803297,0.6623625394925013,DPZ,0.1648819375841883,2.0,-2.55%,-0.13%,6.20%,18.78%,24.20%,28.11%,10.54%,T. Rowe Price Group,Financials,Asset Management & Custody Banks,TROW,REGN,KR,NLOK,CLX,DXCM,NEM,LLY,AKAM,LUMN,0.3440957377599715,0.22302352276772835,0.01,0.0,0.19,0.25,0.28,0.03,0.05,0.08,0.01,0.09,0.3852402618037828,0.24870276267486208,0.01,0.0,0.1,0.21,0.22,0.22,0.02,0.1,0.0,0.12
TTWO,0.44599367329478146,0.41387193496656044,1.0776127483271276,CARR,-0.036827712201059105,2.0,-2.20%,4.27%,15.11%,25.77%,48.88%,69.72%,-2.71%,Take-Two Interactive,Communication Services,Interactive Home Entertainment,TTWO,REGN,LUMN,NLOK,KR,DXCM,CLX,LLY,AKAM,NEM,0.34468455954867117,0.22439101978265816,0.08,0.02,0.07,0.14,0.22,0.03,0.14,0.11,0.03,0.15,0.4051952759848191,0.24644497768951887,0.23,0.01,0.11,0.15,0.01,0.09,0.18,0.19,0.0,0.02
TPR,0.1583298676837191,0.8052271835186497,0.19662757408642803,CLX,-0.010664068640315242,3.0,-6.65%,2.11%,9.75%,98.85%,134.04%,16.86%,2.77%,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",TPR,EBAY,NFLX,AMZN,MKTX,EA,CHD,TSCO,AKAM,ATVI,0.3291571146277153,0.26414032827905504,0.0,0.1,0.03,0.07,0.03,0.04,0.25,0.21,0.21,0.03,0.4171517169070405,0.28390730685554083,0.01,0.2,0.12,0.23,0.02,0.01,0.15,0.24,0.01,0.01
TGT,0.34199282816255516,0.36931209992443487,0.9260265998122739,CARR,0.0012261636639897275,2.0,-5.02%,-1.48%,-1.67%,12.60%,48.53%,40.47%,4.11%,Target Corp.,Consumer Discretionary,General Merchandise Stores,TGT,REGN,DXCM,NLOK,KR,CLX,LUMN,AKAM,LLY,NEM,0.3153691752819854,0.22205607593415694,0.0,0.03,0.03,0.2,0.28,0.19,0.03,0.09,0.06,0.07,0.37950048052100965,0.23899225440053817,0.01,0.03,0.09,0.18,0.02,0.22,0.11,0.05,0.19,0.1
TEL,0.24945856923924078,0.46607525908505604,0.5352323779832219,KR,0.007069474158039596,0.0,-2.92%,0.34%,6.23%,24.41%,49.87%,28.95%,1.37%,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,TEL,REGN,KR,CLX,DXCM,NLOK,NEM,AKAM,LLY,LUMN,0.3137914189983289,0.22379595525328286,0.04,0.08,0.2,0.2,0.03,0.23,0.01,0.11,0.0,0.08,0.35220553281043365,0.22571583230541564,0.03,0.06,0.09,0.19,0.05,0.21,0.11,0.0,0.1,0.14
FTI,-0.5484474315575868,0.8996787520392961,-0.6096036283111327,KR,-0.06574882699924892,1.0,5.80%,-5.40%,13.12%,48.97%,37.43%,-55.23%,20.74%,TechnipFMC,Energy,Oil & Gas Equipment & Services,FTI,TT,LB,GOOG,ZBRA,GOOGL,LRCX,MXIM,TXN,ALXN,0.2934400709476798,0.33696578712646147,0.03,0.2,0.01,0.23,0.07,0.14,0.03,0.03,0.02,0.22,0.44407430285829763,0.4233466136749269,0.0,0.05,0.18,0.16,0.11,0.03,0.18,0.11,0.02,0.17
TDY,0.07130595607549887,0.5114605666731931,0.13941633181871693,KR,0.020502081449654246,0.0,1.03%,1.72%,3.71%,26.36%,26.06%,13.11%,-4.44%,Teledyne Technologies,Industrials,Aerospace & Defense,TDY,AKAM,NEM,NLOK,AMZN,EBAY,NFLX,CHD,DXCM,TSCO,0.30513246103975306,0.247017348643569,0.1,0.16,0.11,0.16,0.04,0.13,0.05,0.19,0.0,0.05,0.4074801064456065,0.2645692260997806,0.0,0.0,0.23,0.12,0.26,0.18,0.04,0.06,0.01,0.09
TFX,0.025704717121165517,0.43296174262405474,0.05936948831870625,KR,0.04304539527614154,0.0,-2.76%,-0.50%,7.53%,21.01%,13.28%,9.75%,-7.20%,Teleflex,Health Care,Health Care Equipment,TFX,REGN,KR,CLX,NLOK,NEM,DXCM,WMT,NFLX,DG,0.288103251989241,0.2160907792737169,0.07,0.02,0.19,0.2,0.19,0.1,0.04,0.1,0.02,0.06,0.3488056129054062,0.23870966716399136,0.01,0.04,0.03,0.3,0.29,0.05,0.04,0.08,0.14,0.02
TER,0.5161138368776991,0.5207937302761034,0.9910139213927878,CARR,0.1573804315541437,2.0,-5.79%,0.47%,8.66%,51.02%,42.16%,76.73%,1.73%,Teradyne,Information Technology,Semiconductor Equipment,TER,REGN,NLOK,KR,DXCM,CLX,NEM,AKAM,LUMN,CHD,0.3273437327393087,0.22707220406768225,0.0,0.1,0.26,0.22,0.02,0.25,0.07,0.02,0.06,0.0,0.38350665206838924,0.25130350050666134,0.17,0.02,0.16,0.14,0.09,0.17,0.09,0.0,0.16,0.0
TSLA,2.083121755175686,0.8706503074099399,2.3926043986278205,KR,0.05625085011287279,4.0,-2.14%,2.48%,24.33%,64.49%,226.76%,743.44%,19.78%,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,TSLA,REGN,DXCM,KR,NLOK,CLX,NEM,AKAM,LUMN,LLY,0.33304242995665667,0.23035715711192872,0.0,0.06,0.06,0.16,0.17,0.17,0.08,0.15,0.04,0.1,0.8181547846364552,0.32640047442599446,0.27,0.0,0.02,0.11,0.1,0.22,0.01,0.09,0.07,0.11
TXN,0.26991007934166866,0.4183518666596138,0.6451747938805714,VNT,0.1424347159997996,0.0,-4.98%,2.14%,1.79%,15.77%,31.09%,31.70%,2.22%,Texas Instruments,Information Technology,Semiconductors,TXN,REGN,KR,NLOK,DXCM,CLX,NEM,LUMN,LLY,AKAM,0.33455462876714,0.22423366761247632,0.02,0.02,0.24,0.18,0.05,0.23,0.11,0.02,0.1,0.02,0.38711788165060734,0.24672644466955065,0.01,0.05,0.01,0.2,0.11,0.17,0.1,0.15,0.18,0.03
TXT,0.04276911868647521,0.6555442605674123,0.06524215260378606,DPZ,0.07927948459184218,3.0,-7.46%,1.61%,7.21%,33.97%,46.99%,8.60%,-2.52%,Textron Inc.,Industrials,Aerospace & Defense,TXT,AKAM,NLOK,NEM,MKTX,DXCM,NFLX,CLX,LLY,EBAY,0.35154739547140046,0.2434298107311712,0.05,0.14,0.16,0.08,0.0,0.07,0.12,0.21,0.11,0.04,0.39211188038871914,0.2493677705562449,0.02,0.01,0.19,0.14,0.0,0.04,0.13,0.19,0.19,0.1
TMO,0.39491286039650214,0.36638008958589974,1.0778775146947845,SPG,0.059233092639916315,2.0,-4.99%,2.28%,0.22%,5.54%,28.67%,43.72%,7.54%,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,TMO,VNT,REGN,LUMN,NLOK,LLY,KR,DXCM,CLX,AKAM,0.3757460631367828,0.19195432234130896,0.18,0.3,0.04,0.04,0.06,0.01,0.19,0.05,0.1,0.02,0.3757460631367828,0.19195432234130896,0.18,0.3,0.04,0.04,0.06,0.01,0.19,0.05,0.1,0.02
TJX,0.07448006035833404,0.5039499626676651,0.14779257044503577,CLX,-0.012477545837344341,0.0,-0.84%,-2.26%,7.53%,22.71%,35.07%,12.25%,-3.72%,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,TJX,NLOK,NEM,DXCM,AKAM,CLX,KR,MKTX,NFLX,AMZN,0.3110341823518052,0.2242003888021433,0.13,0.12,0.14,0.0,0.08,0.17,0.17,0.01,0.03,0.14,0.37304444743481047,0.2395346762405079,0.0,0.17,0.13,0.01,0.05,0.21,0.15,0.03,0.06,0.2
TSCO,0.44603806840323357,0.3858120847982532,1.1561018588530565,CARR,-0.01733556745622721,2.0,1.20%,-1.18%,-0.16%,-1.63%,7.28%,52.33%,5.93%,Tractor Supply Company,Consumer Discretionary,Specialty Stores,TSCO,VNT,LUMN,KEYS,ANET,FFIV,LLY,SIVB,AMAT,ALB,0.4155742903591187,0.2501575876030894,0.18,0.19,0.09,0.1,0.07,0.16,0.15,0.01,0.02,0.02,0.48735260390594676,0.2708493971592833,0.14,0.42,0.06,0.04,0.02,0.02,0.03,0.1,0.07,0.1
TT,0.31094493722067373,0.43718906626253107,0.7112367650886127,KR,0.022159996755489728,2.0,-6.13%,2.11%,-0.37%,20.16%,64.45%,43.42%,-1.25%,Trane Technologies plc,Industrials,Building Products,TT,REGN,DXCM,KR,CLX,NLOK,LLY,AKAM,NEM,LUMN,0.32655318710685,0.21597814749253202,0.12,0.01,0.01,0.19,0.22,0.2,0.1,0.06,0.04,0.03,0.37239343236050415,0.23224666153477821,0.04,0.01,0.06,0.03,0.23,0.22,0.16,0.03,0.06,0.15
TDG,-0.022782397799020197,0.6863706797586142,-0.03319255683682818,K,-0.08700144505103566,3.0,-4.71%,-1.47%,6.85%,30.25%,40.00%,10.51%,-10.91%,TransDigm Group,Industrials,Aerospace & Defense,TDG,AKAM,LLY,MKTX,NFLX,NLOK,AMZN,EBAY,NEM,DXCM,0.3331194065935992,0.25544872766388343,0.06,0.2,0.06,0.0,0.04,0.2,0.09,0.07,0.23,0.03,0.42895682424052445,0.26889366097892814,0.0,0.03,0.21,0.0,0.07,0.21,0.19,0.21,0.03,0.05
